"Listing Pictures","MLS #","Status","Style","Full Address","Zip","Community","MapCoord","Beds","TotB","EstSF","YrBlt","DOMLS","ListPrice","Lst Date","Sold Price","COEDate"
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250035578/0/120/90/a20060ec0c2969c0f9856441f3c24d44/3/97c6a1ba062dd5bbdde2b92412b9154e/250035578-17C8C72B-B124-4182-A600-1E8FADB6B356.JPG","250035578","ACT","DET","3943 Nereis Dr","91941","LM","1271A5","4","2","2,000","1971","14","$851,900","8/5/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250029380/0/120/90/4a6cb958e1f95d79be9d799c944005b1/3/83b2b4ffb2284f937cdea1d441eea1df/250029380-1b2aa45a-1317-425f-acee-c8026d10731d.JPG","250029380","ACT","DET","4306 Merritt Blvd","91941","LM","1271A3","3","3","1,680","1987","27","$869,000","6/3/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250025845/0/120/90/ec0a0223db1fc4c46ebca056355e9df6/3/6c69a3b214804e3e240b32ae2df858e0/250025845-add2abe4-bce7-42a4-9ff2-c676d292e40d.JPG","250025845","ACT","DET","4111 Massachusetts Ave  #3","91941","ParkViPKVW",,"3","3","1,890","2004","113","$888,888","4/29/2025",,
"https://media.crmls.org/mediaz/763e3bd7-6ed8-4a11-bfd1-f2bd465c2a7f.jpg?preset=thumb","PTP2506240","ACT","DET","3443  Trophy Drive","91941",,,"4","2","1,743","1952","6","$899,999","8/15/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250032236/0/120/90/f32d9989a783654730551be6605938a9/3/1dcbe89e1fc22351a099628057dfcd21/250032236-e46b990e-a6a2-4c28-8a23-f3f29eb163b0.JPG","250032236","ACT","DET","4284 Panorama Dr","91941","LM",,"3","2","1,770","1960","50","$870,000 - $915,000","7/1/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250035664/0/120/90/a95c03f908cab8e3b3c03ab65b55fd01/3/463151215bee53f404fbc1e655cce9d0/250035664-cb3ec941-2848-468d-93a2-5386b9148f98.JPG","250035664","ACT","DET","4464 Maple Ave","91941","LM","1270H3","3","2","1,680","2002","13","$969,000","8/7/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250031837/0/120/90/042becd8ae6ea2b93716ca2afd563fa9/3/107f6f727036941b7ff2659a7fb9f276/250031837-04f6a426-a3e1-4573-8a5c-a689c24f7fb2.JPG","250031837","ACT","DET","3918 Calavo Dr","91941","LM","1271F4","3","3","1,772","1956","55","$998,000","6/26/2025",,
"https://media.crmls.org/mediaz/546108a0-45eb-408c-92ee-d4a14fe4e91a.jpg?preset=thumb","PTP2503141","ACT","DET","4331  Helix Canyon Drive","91941",,,"3","2","1,656","1971","108","$999,900","5/1/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250035438/0/120/90/26b2008838603e98ef38b9c7ef5fc8db/3/1f0655164302f1d4d2da491b69b977cd/250035438-005137cd-1c57-4cf6-8d4e-9030c71fc2e3.JPG","250035438","ACT","DET","4310 Resmar Rd.","91941","MTHLX",,"3","4","1,587","1959","15","$1,075,900","8/5/2025",,
"https://media.crmls.org/mediaz/5a9e3f09-008d-47da-b2c2-dda2c9248b5c.jpg?preset=thumb","PTP2502574","ACT","DET","4210  Black Mountain Road","91941",,,"3","2","1,545","1939","83","$1,099,990","4/8/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250030061/0/120/90/b85b8d656f98c5cefb45d18ac703a4c6/3/6b664836d7b9c1af618e1ea44fe36cd0/250030061-4911e527-29ee-4e7a-867a-e9215ac4d0e2.JPG","250030061","ACT","DET","3892 Bass St.","91941","LM",,"4","3","1,577","1952","72","$1,199,000","6/9/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250033087/0/120/90/1855ecc92491f353b80f3f403cd7a051/3/7f7355dd0f7dac8a3a943312cd94b541/250033087-92c9840f-87af-4ce2-8bbc-9889ddca2a44.JPG","250033087","PEND","DET","4028 Apore St","91941","LM",,"3","2","1,718","1963","26","$899,000","7/10/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250033220/0/120/90/2f5eaf287465e84188f74be669ebabb0/3/a1248fa348c63cac15f3526884ad57ec/250033220-e99f236c-db95-4249-896f-46966196bc90.JPG","250033220","PEND","DET","3564 Foursome Dr","91941","LM","1270J5","4","2","1,413","1952","25","$899,999","7/1/2025",,
"https://media.crmls.org/mediaz/8a19ccc0-5800-475c-8601-3d156f9657b4.jpg?preset=thumb","PTP2506024","PEND","DET","7910  Wetherly Street","91941","EastriECER",,"4","3","1,947","1963","10","$935,000","8/2/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250033532/0/120/90/77f93e6df7ddaf0945f15a054856d9b6/3/33a8ad227077d2824a3c5c7c998eb639/250033532-406ada85-dc70-42ea-88ff-7c4956705a4d.JPG","250033532","PEND","DET","4621 Miramonte","91941","LM",,"3","2","1,864","1963","27","$989,000","7/15/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250033885/0/120/90/2903e6df0c56acf41c89a6c23130316f/3/a6e62ec3c7e46ec3ca42fac8081872ec/250033885-2a475fc2-263e-44a3-b3d9-40bf8a6621d0.JPG","250033885","PEND","DET","4815 BEAUMONT DRIVE","91941","MTHLX",,"3","2","1,595","1954","13","$1,100,000","7/18/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250034558/0/120/90/51755d415dc5ab0a399afdec9dbdb9b5/3/124d69c3707ad1a151ac647a5f45724d/250034558-f0f83e22-219b-4bbe-b48f-282eb241049b.JPG","250034558","PEND","DET","4013 Corte Tierra Alta","91941","LM","1271E4","3","2","1,778","1976","5","$1,100,000","7/25/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250030984/0/120/90/689f41cf6e68b3829c6ce79c086b9a74/3/46a263c09b57a10725ed8d7ec5abdf8d/250030984-c4692fb5-c696-408b-92f8-d86d4e20e46a.JPG","250030984","PEND","DET","9514 Tropico Dr","91941","MTHLX",,"3","2","1,572","1969","39","$1,149,000","6/18/2025",,
"https://media.crmls.org/mediaz/5c69cba7-c89a-4d1d-8dd8-c63646fb9088.jpg?preset=thumb","PTP2504118","PEND","DET","4797  Beaumont Dr","91941",,,"3","2","1,962","1936","33","$1,200,000","5/29/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250028989/0/120/90/fade69f28b68f6167b2370a748a6e0b6/3/420d8d5a72af804377e6b1e564cea0c5/250028989-0cd447f9-bb19-4da6-ba1e-43aeccfbe98a.JPG","250028989","PEND","DET","9835 Edgelake Dr","91941","MTHLX",,"3","2","1,950","1961","49","$1,274,000","5/30/2025",,
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250027948/0/120/90/debd4be22864e3f843d151a7753deaa6/3/53ce15c8e26e208630848d2d48c561cf/250027948-f0d9704b-b3f1-4857-8be6-4ad26d33974a.JPG","250027948","SOLD","DET","5025 Crestland Dr","91941","MTHLX",,"3","1","1,400","1939","8","$700,000","5/16/2025","$710,000","7/1/2025"
"https://media.crmls.org/mediaz/69fe3c0e-63a0-457c-b39f-8b0b4991f663.jpg?preset=thumb","PTP2502513","SOLD","DET","8899  Mariposa St.","91941",,,"3","2","1,472","1959","48","$789,000","3/31/2025","$789,000","6/17/2025"
"https://media.crmls.org/mediaz/f9bfe1e3-aa63-4c29-8d1e-4c8b97ba27d5.jpg?preset=thumb","PTP2502904","SOLD","DET","3251  Fairway Drive","91941",,,"4","3","2,000","1952","61","$819,000","4/22/2025","$805,000","8/4/2025"
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250031294/0/120/90/e04f3ba685206f44406c7f75af22bcfe/3/2298474db371ae134e2dfadd49a94ae3/250031294-958eb59f-36d7-4aa7-9459-3e35091a902f.JPG","250031294","SOLD","DET","3855 Carbo Court","91941","LM",,"4","3","1,917","1984","4","$849,000","6/20/2025","$825,000","7/9/2025"
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250023370/0/120/90/656f25a7d7dac786b598c822e3ee7be1/3/a4e63d42a54dbeb69e2a04bd56ba16cf/250023370-301e9444-4c58-4cbf-9e6d-edfefa6a0c91.JPG","250023370","SOLD","DET","4124 Bancroft Dr","91941","MTHLX",,"3","2","1,694","1952","56","$875,000","4/3/2025","$870,000","6/30/2025"
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250027530/0/120/90/e90cd789d4280f77b975c77c7a81a30c/3/f8143f4d680a6e8728199d6626d53456/250027530-5b05f72b-ba52-4bd7-878a-226e49cdfe60.JPG","250027530","SOLD","DET","3879 Capitol St","91941","LM",,"3","2","1,442","1962","5","$850,000","5/15/2025","$870,000","6/6/2025"
"https://media.crmls.org/mediaz/6301bfe2-cbe3-400a-b745-df0ab057c5b2.jpg?preset=thumb","PTP2503167","SOLD","DET","11035  Via Merida","91941",,,"3","2","1,420","1985","20","$899,000","5/1/2025","$905,000","6/20/2025"
"https://media.crmls.org/mediaz/a7c5660b-45f8-4105-8b19-02f5f2c56f00.jpg?preset=thumb","NDP2503537","SOLD","DET","4222  Avocado Boulevard","91941",,,"3","3","1,535","1950","17","$998,747","4/9/2025","$950,000","5/30/2025"
"https://media.crmls.org/mediaz/ef4b2843-7254-46d5-bd2b-664f139cbeaf.jpg?preset=thumb","PTP2504108","SOLD","DET","10734  Challenge Boulevard","91941",,,"3","2","1,628","1973","15","$999,000","6/3/2025","$975,000","7/16/2025"
"//cdnparap00.paragonrels.com/ParagonImages/Property/p0/SDMLS/250032744/0/120/90/609e4bde026ad5aff561045e583c94c9/3/b8875c4a6f4f4ac4271f6f97178a98e7/250032744-4933A8E9-B973-4D3C-9DA3-549CD955BA0C.JPG","250032744","SOLD","DET","7987 Wetherly St","91941","LM","1270H4","4","2","1,995","1966","20","$899,999","7/8/2025","$988,300","8/14/2025"
